Timestamp,AQI,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
01-01-2021 00:00,260,133.31,174.48,4.73,3.81,8.54,16.84,3.81,0.75,8.2,0.03,NA,NA,NA,3.87,4.05,25.62,81.29,0.38,170.39,NA,0,NA,NA,NA
02-01-2021 00:00,,170.15,201.75,5.07,4.72,9.79,15.86,4.08,0.97,7.87,0.21,NA,NA,NA,3.56,4.72,25.25,85.14,0.41,185.34,NA,0,NA,NA,NA
03-01-2021 00:00,325,151.04,196.69,5.97,3.83,9.8,14.82,4.08,0.83,7.45,0.11,NA,NA,NA,4.16,5.63,23.17,84.6,0.35,173.42,NA,0,NA,NA,NA
04-01-2021 00:00,303,153.25,190.24,5.35,5.29,10.65,14.23,4.32,0.93,8.22,0.2,NA,NA,NA,3.29,5.17,23.84,81.85,0.36,182.56,NA,0,NA,NA,NA
05-01-2021 00:00,322,174.74,213.79,4.68,4.76,9.44,13.46,4.06,0.93,8.6,0.01,NA,NA,NA,3.68,4.73,23.51,81.67,0.4,175.56,NA,0,NA,NA,NA
06-01-2021 00:00,,200.5,238.11,5.77,5.05,10.81,13.71,4.3,1.02,8.19,0.18,NA,NA,NA,3.28,4.53,23.93,79.32,0.42,200.53,NA,0,NA,NA,NA
07-01-2021 00:00,358,185.45,214.33,7.14,7.14,14.29,14,4.91,1.04,8.29,0.07,NA,NA,NA,3.14,5.21,25.24,80.58,0.4,186.09,NA,0,NA,NA,NA
08-01-2021 00:00,,181.7,187.23,9.33,5.59,14.92,13.93,4.83,1.03,7.09,0.12,NA,NA,NA,3.66,5.25,25.98,87.21,0.32,216.37,NA,0,NA,NA,NA
09-01-2021 00:00,,163.67,187.56,9.34,5.37,14.71,12.91,4.9,0.93,7.25,0.22,NA,NA,NA,3.38,4.57,26.38,85.79,0.4,209.1,NA,0,NA,NA,NA
10-01-2021 00:00,278,126.65,139.2,6.4,3.94,10.35,10.93,4.25,0.77,10.52,0.19,NA,NA,NA,3.22,4.57,27.49,82.66,0.56,197.96,NA,0,NA,NA,NA
11-01-2021 00:00,210,85.24,103.37,4.98,3.38,8.36,12.8,3.88,0.71,7.9,0.01,NA,NA,NA,3.31,4.33,27.51,80.7,0.58,192.16,NA,0,102.34,NA,NA
12-01-2021 00:00,170,86.91,111.53,5.11,3.58,8.69,15.78,4,0.62,8.1,0.09,NA,NA,NA,3.46,5.3,27.55,78.96,0.59,207.12,NA,0,NA,NA,NA
13-01-2021 00:00,198,72.98,104.83,6.19,4,10.19,16.49,3.77,0.72,6.79,0.1,NA,NA,NA,3.73,4.33,26.53,76.35,0.66,183.68,NA,0,NA,NA,NA
14-01-2021 00:00,130,66.84,97.33,5.79,1.91,7.7,16.29,3.83,0.61,7.08,0.09,NA,NA,NA,3.1,4.38,24.45,77.68,0.39,156.49,NA,0,NA,NA,NA
15-01-2021 00:00,110,54.14,78.89,5.91,2.81,8.73,16.36,3.9,0.55,6.91,0.08,NA,NA,NA,3.08,4.45,22.59,82.54,0.42,151.77,NA,0,NA,NA,NA
16-01-2021 00:00,78,57.75,93.34,2.79,5.38,8.17,17.87,3.69,0.51,8.22,0.05,NA,NA,NA,3.58,4.63,23.44,74.34,0.48,157.3,NA,0,NA,NA,NA
17-01-2021 00:00,128,59.15,92.68,3.67,3.09,6.76,15.84,3.57,0.42,7.59,0.03,NA,NA,NA,2.9,3.99,23.69,73.45,0.41,151.35,NA,0,NA,NA,NA
18-01-2021 00:00,69,37.77,72.24,4.87,3.48,8.31,15.22,3.63,0.48,6.98,0.03,NA,NA,NA,3.37,4.6,21.35,76.89,0.42,154.11,NA,0,NA,NA,NA
19-01-2021 00:00,78,59.32,93.77,4.12,4.43,8.55,15.36,4.13,0.5,8.38,0.05,NA,NA,NA,3.38,3.79,NA,73.4,0.55,146.62,NA,0,NA,NA,NA
20-01-2021 00:00,133,56.11,99.26,5.71,4.15,9.85,17.09,4.02,0.62,7.06,0.07,NA,NA,NA,3.21,3.55,NA,72.11,0.5,151.04,NA,0,NA,NA,NA
21-01-2021 00:00,158,93.47,127.76,4.45,3.77,8.22,17.53,3.91,0.6,7.71,0.02,NA,NA,NA,3.04,3.97,26.11,74.84,0.43,144.74,NA,0,NA,NA,NA
22-01-2021 00:00,236,106.41,147.85,3.68,5.59,9.27,15.66,4.03,0.72,8.57,0.06,NA,NA,NA,3.19,4.03,22.33,80.01,0.41,145.98,NA,0,NA,NA,NA
23-01-2021 00:00,246,101.54,143.69,4.37,5.15,9.53,14.86,4.48,0.76,7.98,0.03,NA,NA,NA,3.38,4.32,24.37,75.44,0.55,152.13,NA,0,NA,NA,NA
24-01-2021 00:00,140,55.39,115.51,4.39,3.9,8.29,14.15,3.89,0.48,7.54,0.02,NA,NA,NA,2.99,3.59,24.98,70.53,0.53,168.73,NA,0,NA,NA,NA
25-01-2021 00:00,126,70.43,165.19,4.89,5.22,10.11,13.62,3.82,0.62,7.46,0.01,NA,NA,NA,3.32,3.69,21.84,76.49,0.45,138.07,NA,0,NA,NA,NA
26-01-2021 00:00,166,84.3,178.04,4.3,3.9,8.2,13.04,3.65,0.63,7.91,0.07,NA,NA,NA,2.99,3.61,21.29,78.37,0.46,152.97,NA,0,NA,NA,NA
27-01-2021 00:00,191,84.21,139.31,4.22,4.57,8.8,13.22,3.7,0.72,7.77,0.05,NA,NA,NA,2.84,3.62,20.87,79.72,0.43,146.99,NA,0,NA,NA,NA
28-01-2021 00:00,201,98.33,148.49,4.56,4.84,9.39,12.12,3.6,0.76,7.72,0.02,NA,NA,NA,3.13,3.57,21.03,80.33,0.45,143.51,NA,0,NA,NA,NA
29-01-2021 00:00,195,81,131.02,5.29,5.68,10.97,12.59,3.68,0.76,7.92,0.04,NA,NA,NA,2.92,3.4,21.15,78.85,0.43,142.14,NA,0,NA,NA,NA
30-01-2021 00:00,135,65.04,103.42,5.16,3.66,8.82,13.89,3.62,0.67,7.26,0.01,NA,NA,NA,3.4,3.33,22.06,75.11,0.54,140.62,NA,0,NA,NA,NA
31-01-2021 00:00,99,53.55,104.96,4.5,3.89,8.39,14.67,3.45,0.51,7.64,0.02,NA,NA,NA,2.07,3.19,23.13,70.01,0.46,150.56,NA,0,NA,NA,NA
01-02-2021 00:00,138,76.89,118.39,4.8,3.8,8.6,23.36,3.76,0.66,7.56,0.09,NA,NA,NA,2.99,4.09,24.99,72.38,0.58,164.13,NA,0,NA,NA,NA
02-02-2021 00:00,121,59.07,96.06,4.73,2.56,7.29,20.11,3.78,0.57,7.68,0.57,NA,NA,NA,2.98,4.55,26.19,63.98,0.69,162,NA,0,NA,NA,NA
03-02-2021 00:00,115,60.88,93.19,3.57,3.02,6.59,15.12,3.63,0.64,7.14,1.98,NA,NA,NA,2.65,4.46,22.22,75.16,0.53,117.73,NA,0,NA,NA,NA
04-02-2021 00:00,99,66.71,103.84,3.25,2.99,6.24,16.02,3.61,0.5,7.98,0.06,NA,NA,NA,2,3.98,21.55,80.66,0.44,127.7,NA,0,NA,NA,NA
05-02-2021 00:00,150,64.21,105.45,5.35,3.64,8.99,16,4.05,0.6,7.95,0,NA,NA,NA,3.13,4.19,22.29,74.94,0.49,162.64,NA,0,NA,NA,NA
06-02-2021 00:00,88,52.99,108.31,4.39,3.79,8.18,17.88,3.84,0.52,9.19,0.11,NA,NA,NA,3.38,3.76,23.97,67.83,0.64,168.93,NA,0,NA,NA,NA
07-02-2021 00:00,105,46.93,111.28,2.62,3.11,5.73,19.17,3.75,0.45,9.71,0.08,NA,NA,NA,2.9,3.25,26.67,47.46,0.73,181.59,NA,0,NA,NA,NA
08-02-2021 00:00,88,45.61,67.01,3.93,2.37,8.07,19.73,3.68,0.55,8.6,0.08,NA,NA,NA,2.39,3.14,22.94,65.02,0.74,160.97,NA,0,NA,NA,NA
09-02-2021 00:00,88,48.34,122.91,4.21,5.91,9.25,19.82,4.28,0.63,9.36,0.02,NA,NA,NA,3.85,3.68,24.85,59.31,0.62,160.73,NA,0,NA,NA,NA
10-02-2021 00:00,,88.98,159.14,3.12,10.25,13.37,23.95,4.07,0.76,11.69,0,NA,NA,NA,2.37,3.61,28.12,59.74,0.73,177.08,NA,0,NA,NA,NA
11-02-2021 00:00,163,62.9,104.98,3.99,4.18,8.17,23.45,3.89,0.62,8.55,0.02,NA,NA,NA,2.49,3.41,22.61,72.17,0.54,127.16,NA,0,NA,NA,NA
12-02-2021 00:00,149,76.96,120.84,3.81,5.76,9.57,21.68,4.19,0.68,9.65,0.04,NA,NA,NA,3.45,4.28,23.17,72.44,0.5,138.15,NA,0,NA,NA,NA
13-02-2021 00:00,104,49.76,116.61,4.07,7.49,11.55,20.42,3.99,0.61,9.01,0,NA,NA,NA,2.25,3.81,27.73,62.07,0.62,193.28,NA,0,NA,NA,NA
14-02-2021 00:00,95,52.49,107.37,5.23,3.86,9.09,18.59,3.9,0.57,7.96,0.07,NA,NA,NA,2.42,3.46,24.03,78.89,0.52,145.74,NA,0,NA,NA,NA
15-02-2021 00:00,84,40.55,83.84,6.25,3.55,9.79,19.61,4.08,0.6,5.77,0.02,NA,NA,NA,2.88,3.83,23.12,82.36,0.48,152.8,NA,0,NA,NA,NA
16-02-2021 00:00,77,23.93,68.15,6.79,3.22,9.37,20.89,3.04,0.41,5.71,0.15,NA,NA,NA,2.86,4.16,24.15,82.95,0.59,152.01,NA,0,NA,NA,NA
17-02-2021 00:00,76,39.13,84.41,7,2.56,9.44,19.28,1.53,0.44,5.87,0.1,NA,NA,NA,3.37,4.24,23.5,82.01,0.53,135.63,NA,0,NA,NA,NA
18-02-2021 00:00,123,64.21,149.98,4.49,2.98,6.39,16.17,6.26,0.68,7.4,0.01,NA,NA,NA,3.21,4.78,26.22,71.99,0.57,176.24,NA,0,NA,NA,NA
19-02-2021 00:00,91,28.72,67.99,3.94,3.24,7.18,17.92,6.08,0.5,6.88,0.05,NA,NA,NA,3.17,4.27,26.56,65.9,0.74,146.21,NA,0,NA,NA,NA
20-02-2021 00:00,32,29.73,65.57,2.19,4.95,7.14,20.65,6.38,0.42,9.12,0.08,NA,NA,NA,4.04,4.33,25.19,68.31,0.71,147.2,NA,0,NA,NA,NA
21-02-2021 00:00,58,38.55,80.72,3,3.03,6.03,18.25,5.69,0.38,8.73,0.09,NA,NA,NA,3.01,5.66,27.84,57.15,0.83,164.44,NA,0,NA,NA,NA
22-02-2021 00:00,84,32.34,79.92,3.67,3.76,7.44,17.69,7.72,0.52,7.72,2.22,NA,NA,NA,2.97,5.45,27.25,66.12,0.76,178.78,NA,0,NA,NA,NA
23-02-2021 00:00,86,52.17,107.83,3.83,4.8,8.63,18.41,6.88,0.63,10.82,0.17,NA,NA,NA,4.68,7.05,26.16,70.47,0.58,134.94,NA,0,NA,NA,NA
24-02-2021 00:00,117,54.22,125.53,4.97,5.19,10.16,18.26,6.4,0.65,9.09,0.07,NA,NA,NA,4.67,8.06,27.31,66.41,0.69,157.32,NA,0,NA,NA,NA
25-02-2021 00:00,102,35.18,94.28,4.47,4.11,8.58,19.53,6.19,0.51,8.83,0.02,NA,NA,NA,4.04,7.48,25.79,68.1,0.7,137.26,NA,0,NA,NA,NA
26-02-2021 00:00,85,16.17,82.42,4.28,5.31,9.59,21.6,6.36,0.55,8.72,0.12,NA,NA,NA,4.25,7.03,27.07,62.73,0.7,147.02,NA,0,NA,NA,NA
