Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2023-03-08,47.0484375,91.91927083333333,5.519375,20.825520833333332,26.35020833333333,4.420833333333333,5.461597222222223,0.360625,63.71270833333333,0.026875,,,,0.8996875000000001,0.966388888888889,28.172569444444445,69.14597222222223,35.408541666666665,120.125625,,0.0,1242.233125,1010.9441666666667,
2023-03-09,40.33927083333333,80.58232638888889,2.805138888888889,14.26482638888889,17.06829861111111,4.292881944444445,5.4975,0.32465277777777773,58.87444444444444,0.022812499999999996,,,,0.8312499999999999,0.9451736111111111,28.44190972222222,58.821666666666665,35.47440972222223,116.22600694444445,,0.0,1249.1092708333333,1010.2634027777777,
2023-03-10,37.066875,84.24288194444445,2.070138888888889,13.817847222222222,15.888645833333333,3.3255555555555554,5.444166666666667,0.3396875,62.07798611111111,0.02145833333333333,,,,0.6488194444444445,0.8446527777777778,28.2215625,50.97545138888889,36.32361111111111,104.76427083333334,,0.0,1254.9658333333334,1009.6070486111112,
2023-03-11,43.833958333333335,97.424375,2.8043750000000003,16.142083333333336,18.94875,3.6493749999999996,5.620694444444445,0.34125,67.51864583333334,0.016875,,,,0.787986111111111,1.0854861111111112,28.697326388888886,55.700625,37.71170138888889,125.96065972222222,,0.0,1237.3502083333333,1008.7711111111112,
2023-03-12,61.2446875,123.8176736111111,3.0521527777777777,17.2221875,20.276145833333334,4.415104166666667,5.8819791666666665,0.4667013888888889,83.58722222222222,0.0221875,,,,0.868263888888889,1.2611458333333332,29.680625000000003,54.963854166666664,37.20552083333333,132.74968750000002,,0.0,1231.1282291666666,1008.2525,
2023-03-13,65.68177083333333,122.3082638888889,2.900104166666667,16.6375,19.536145833333332,4.6987499999999995,6.101736111111111,0.5103125000000001,85.96329861111111,0.006979166666666667,,,,0.7986805555555555,1.0327083333333333,29.869965277777776,53.64961805555555,37.81642361111111,142.77809027777778,,0.0,1169.5443055555554,1007.2215277777777,
2023-03-14,63.64270833333333,122.70565972222222,4.574513888888888,18.922812500000003,23.497152777777774,4.778333333333333,6.341304347826087,0.511195652173913,83.59391304347827,0.041076388888888885,,,,0.8719444444444444,1.0516319444444444,29.84764492753623,58.89521739130434,38.11518115942029,161.68014492753625,,0.0,804.8389130434782,1005.9544565217391,
2023-03-15,59.508020833333326,173.36055555555558,7.368854166666666,24.609583333333333,31.976006944444446,5.183298611111112,6.393819444444445,0.46649305555555554,68.86739583333333,0.012604166666666666,,,,0.9063043478260869,1.138695652173913,29.059965277777778,73.82246527777778,37.9209375,150.19972222222222,,0.0,841.5210416666667,1004.8755555555555,
2023-03-16,61.56552083333333,169.9597916666667,11.529965277777778,17.075520833333332,28.605243055555558,6.248124999999999,6.680347222222223,0.45263888888888887,54.98739583333333,0.0246875,,,,0.8047569444444443,1.0229861111111112,29.015312500000004,81.83524305555555,38.587604166666665,164.7626388888889,,0.0,1250.7597569444445,1005.9476388888888,
2023-03-17,47.99916666666667,102.66513888888888,4.216701388888889,16.414305555555554,20.631041666666665,6.326631944444444,6.283854166666667,0.35791666666666666,59.4378125,0.005104166666666662,,,,0.6814583333333334,1.1105208333333334,28.657743055555557,78.03472222222221,37.916041666666665,127.90552083333334,,0.0,1131.635625,1007.1860763888889,
