Timestamp,AQI,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
01-01-2024,96,50.41,99.24,2.48,8.86,11.33,3.91,7.32,1.02,8.33,0.11,,,,0.68,0.84,30.5,85.59,4.76,191.34,,0,1266.29,1009.06,
02-01-2024,113,58.29,126.34,2.76,11.06,13.82,4.18,7.41,0.74,8.72,0.1,,,,0.81,1.2,30.94,87.94,3.72,199.36,,0,1266.29,1008.57,
03-01-2024,114,53.6,123.45,2.12,12.97,15.09,4.53,6.55,0.27,8.77,0.15,,,,0.84,1.12,30.43,90.46,2.74,212.69,,0,1266.29,1007.94,
04-01-2024,107,45.16,107.65,2.19,10,12.2,4.28,6.28,0.73,8.7,0.06,,,,0.74,0.85,30.35,85.37,5.14,187.17,,0,1266.29,1008.22,
05-01-2024,109,51.14,125.8,3.25,13.19,16.44,4.56,5.83,0.45,8.59,0.11,,,,0.79,1.3,30.04,87.22,4.52,191.78,,0,1266.29,1008.44,
06-01-2024,106,50.11,106.61,2.12,9.07,11.19,3.91,5.91,0.99,8.67,0.1,,,,0.93,1,30.11,85.38,4.05,190.23,,0,1266.29,1008.35,
07-01-2024,110,52.53,112.68,2.63,10.22,12.86,4.34,6.31,0.5,8.64,0.15,,,,0.74,0.92,30.7,85.97,5.01,201.66,,0,1266.29,1008.25,
08-01-2024,93,41.59,88.28,1.88,10.13,12.01,4.7,6.48,0.43,8.49,0.13,,,,0.77,1.13,31.45,79.93,2.88,207.61,,0,1266.29,1008.48,
09-01-2024,93,47.47,96.66,2.62,12.7,15.32,5,6.52,1.44,8.65,0.14,,,,0.76,0.98,30.93,87.45,7.53,188.07,,0,1266.29,1008.74,
10-01-2024,74,35.18,76.39,2.91,15.81,18.72,5.62,7.04,1.3,8.75,0.06,,,,0.64,0.84,30.89,84.99,5.25,195.42,,0,1266.29,1009.06,
11-01-2024,84,43.68,85.44,2.5,8.71,11.21,5.53,6.98,0.56,8.78,0.12,,,,0.84,0.95,31.01,84.51,5.69,195.54,,0,1266.29,1009.25,
12-01-2024,91,42.26,92.3,3.77,9.58,13.35,5.19,7.01,0.75,8.65,0.1,,,,0.94,0.92,30.85,80.7,4.27,210.32,,0,1266.29,1008.48,
13-01-2024,92,41.52,91.47,3.35,12.48,15.83,5.17,6.76,0.63,8.64,0.12,,,,0.81,1.19,31.1,85.01,3.94,193.62,,0,1266.29,1009.51,
