Timestamp,AQI,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
01-07-2017 00:00,86,35.07,59.57,3.42,16.84,11.47,4.7,27.11,1.35,66.21,3.58,8.15,2.51,NA,NA,NA,26.18,81.56,1.79,293.21,0.09,7.5,72.09,735.26,0.08
02-07-2017 00:00,93,40.67,111.65,2.97,15.38,10.6,3.84,14.22,1.12,9.77,3.51,9.09,2.13,NA,NA,NA,26.29,80.03,1.95,282.67,0.02,2,75.33,736.41,0.09
03-07-2017 00:00,97,43.01,105.91,3.46,19.63,13.23,4.46,34.07,1.71,13.86,4,11.27,3.02,NA,NA,NA,27.68,76.35,1.75,284.9,0.01,1,79.21,737.94,0.08
04-07-2017 00:00,,46.65,123.31,3.22,16.37,11.31,4.97,33.52,1.48,15.62,4.92,12.21,2.9,NA,NA,NA,30.7,71.34,1.84,275.74,0,0,157.62,736.94,0.09
05-07-2017 00:00,,49.73,128.29,3.34,17.21,11.86,4.75,32.45,1.53,14.47,4.1,12.87,2.61,NA,NA,NA,32.2,68.56,1.67,279.87,0,0,135.82,736.34,0.08
06-07-2017 00:00,,44.5,112.92,2.87,16.03,10.87,4.75,12.32,0.92,16.68,4.22,13.81,2.39,NA,NA,NA,30.65,69.75,1.41,274.9,0,0,94.76,735.95,0.09
07-07-2017 00:00,109,54.06,126.97,2.54,17.13,11.16,4.36,31.53,1.65,12.18,4.9,13.45,3.03,NA,NA,NA,28.18,75.6,1.21,289.43,0.01,0.5,70.36,736.42,0.06
08-07-2017 00:00,122,50.81,108.75,2.93,12.81,9.1,4.27,26.24,1.55,19.98,3.66,11.06,2.13,NA,NA,NA,27.59,80.98,1.1,233.36,0,0,74.67,737.62,0.07
09-07-2017 00:00,89,4.17,NA,2.4,12.71,8.3,NA,16.63,1.92,66.75,0.94,1.15,1.26,NA,NA,NA,29.25,76.88,1.49,299.82,0,0,61.52,740.29,0.05
10-07-2017 00:00,,25.77,60.3,2.78,10.11,7.39,3.55,14.54,NA,NA,4.3,6.65,2.39,NA,NA,NA,31.86,74.34,2.31,303.35,0,0,147.14,739.73,0.08
11-07-2017 00:00,74,36.94,67.67,2.24,9.14,6.66,2.87,24.85,1.41,21.59,2.87,9.06,1.74,NA,NA,NA,29.16,77.26,1.34,221.07,0.03,2.5,137.45,738.59,0.07
12-07-2017 00:00,57,32.91,55.08,2.32,7.97,5.84,4.96,12.86,1.59,15.07,4.2,8.39,2.43,NA,NA,NA,31.59,70.25,1.36,316.45,0,0,146.14,737.9,0.07
13-07-2017 00:00,92,40.91,75.96,1.88,9.25,6.46,3.33,22.96,1.32,15.13,3.06,13.64,2.12,NA,NA,NA,28.35,75.38,1.26,266.05,0.02,1.5,103.35,736.27,0.07
14-07-2017 00:00,61,37.74,77.33,2.04,9.2,6.56,3.7,26.47,0.9,12.62,3.22,11.98,2.45,NA,NA,NA,26.95,76.28,2.44,290.51,0,0,85.58,735.69,0.1
15-07-2017 00:00,80,36.47,64.96,1.87,8.79,6.19,3.69,17.49,1.31,11.86,3.02,10.24,2.3,NA,NA,NA,26.58,77.84,2.27,292.58,0.02,1.5,92.31,735.59,0.09
16-07-2017 00:00,59,30.36,59.86,1.81,8.1,5.78,3.57,5.13,0.82,13.21,2.99,13.16,1.84,NA,NA,NA,27.33,74.24,2.2,295.94,0,0,77.41,732.06,0.1
17-07-2017 00:00,65,37.4,46.57,1.89,9.22,6.39,3.15,83.53,1.53,15.13,3.4,10.63,1.99,NA,NA,NA,24.62,81.42,1.18,280.78,0.18,16,48.33,729.54,0.05
18-07-2017 00:00,59,16.05,24.71,2.07,5.96,4.49,4.55,10.73,1.03,18.68,3.37,6.19,1.95,NA,NA,NA,24.16,84.32,3.06,279.7,0.07,6.5,55.47,727.42,0.1
19-07-2017 00:00,69,31.65,78.4,1.93,5.27,4.37,3.33,29.73,0.81,16.19,2.98,7.29,1.65,NA,NA,NA,27.15,76.71,4.95,275.18,0.04,3.5,148.11,730.58,0.15
20-07-2017 00:00,,33.17,76.71,1.91,6.95,5.25,2.4,32.07,1.37,NA,3.18,7.24,2.16,NA,NA,NA,28.4,75.25,3.96,288.73,0.08,7,151.26,733.21,0.14
21-07-2017 00:00,96,41.62,115.51,1.81,7.91,5.69,3.62,39.6,1.01,21.5,3.43,6.44,1.75,NA,NA,NA,30.58,73.92,2.96,289.35,0,0,196.48,735.89,0.09
22-07-2017 00:00,107,41.29,112.91,1.74,7.35,5.32,2.26,30.87,1.34,17.13,3.24,6.49,1.79,NA,NA,NA,29.58,74.91,1.41,291.59,0,0,146.65,734.44,0.1
23-07-2017 00:00,115,43.57,136.09,1.51,7.92,5.44,2.3,13.58,0.99,23.03,3.93,6.37,1.59,NA,NA,NA,30.45,73.41,3.1,288.49,0,0,147.97,735.94,0.09
24-07-2017 00:00,124,43.41,128.27,1.91,8.28,5.96,2.47,32.49,1.52,17.64,3.87,7.98,2.28,NA,NA,NA,31.39,69.86,2.97,290.46,0,0,180.45,735.87,0.11
25-07-2017 00:00,120,45.07,143.97,1.78,9.27,6.39,2.46,30.29,1.51,17.98,4.27,8.16,2.19,NA,NA,NA,31.32,70.16,2.64,290.48,0,0,170.69,733.97,0.11
26-07-2017 00:00,129,40.9,133.16,1.98,7.02,5.34,2.46,27.64,1.39,21.43,3.63,6.93,1.88,NA,NA,NA,30.53,73.72,3.16,279.83,0,0,167.8,734.82,0.1
27-07-2017 00:00,114,39.06,107.88,1.61,9.38,6.29,2.29,29.6,1.35,21.04,4.07,8.22,2.03,NA,NA,NA,31.23,70.17,2.46,281.93,0,0,199.03,737.34,0.09
28-07-2017 00:00,89,32.97,106.09,1.88,10.28,6.99,11.47,22.52,1.49,19.11,3.67,8.85,2.09,NA,NA,NA,29.45,74.8,1.89,288.33,0.33,28,180.94,740.49,0.09
29-07-2017 00:00,114,25.75,96.44,1.67,10.12,6.7,2.74,27.16,1.4,22.81,3.23,10.76,2.24,NA,NA,NA,28.75,77.16,1.61,275.18,0.13,11.5,161.53,725.54,0.09
30-07-2017 00:00,89,35.9,7.64,2.3,15.71,10,NA,6.71,1.5,189,2.47,1.92,1.76,NA,NA,NA,30.34,76.36,1.13,267.08,0.01,0.5,170.89,742.85,0.04
31-07-2017 00:00,53,29.83,60.39,1.85,10.47,6.64,6.79,25.64,1.22,138.45,0.98,0.44,0.99,NA,NA,NA,31.33,73.45,1.18,235.26,0.06,5,193.27,717.64,0.06
01-08-2017 00:00,,51.27,138.64,2.08,12.66,8.42,2.78,31.11,1.84,15.05,0.01,0,0,NA,NA,NA,29.74,74.77,1.14,292.59,0.01,1,141.4,NA,0.07
02-08-2017 00:00,,45.67,106.04,1.75,11.89,7.73,3.6,17.95,1.66,12.33,0,0,0,NA,NA,NA,30.19,72.57,1.42,301.74,0,0,127.99,738.98,0.06
03-08-2017 00:00,,43.5,84.07,1.92,9.69,6.72,3.75,NA,1.41,12.11,0.94,2.86,0.73,NA,NA,NA,30.83,68.93,1.77,297.66,0,0,133.19,NA,0.08
04-08-2017 00:00,,40.06,90.89,1.82,8.34,5.92,4.46,30.61,1.16,12.07,2.63,11.2,1.35,NA,NA,NA,32.79,66.2,1.32,232.46,0,0,180.41,NA,0.08
05-08-2017 00:00,,33.72,81.04,1.89,10.87,7.17,6.47,NA,1.19,6.33,2.58,11.18,0.72,NA,NA,NA,30.18,71.43,1.26,277.54,0.14,11.5,145.16,NA,0.06
06-08-2017 00:00,,54.12,176.77,1.51,11.47,7.33,3.16,34.42,0.65,28.93,3.72,7.52,0,NA,NA,NA,30.52,72.21,1.06,241.89,0,0,176.63,NA,0.04
07-08-2017 00:00,,64.92,180.44,1.87,15.1,9.55,4.29,NA,1.18,23.59,4.42,9.59,0,NA,NA,NA,31.12,72.76,1.99,287.12,0.01,0.5,184.71,NA,0.05
08-08-2017 00:00,,59.48,176.92,1.8,14.62,9.23,4.54,27.73,1.25,24.27,4.37,7.95,0,NA,NA,NA,29.89,73.79,2.15,277.05,0,0,129.05,NA,0.07
09-08-2017 00:00,,53.3,136.93,1.6,12.98,8.2,4.23,34.15,1.14,23.41,3.54,5.95,0,NA,NA,NA,29.22,75.06,2.44,274.86,0.02,1.5,163.97,NA,0.06
10-08-2017 00:00,,47.32,123.47,1.78,12.98,8.34,3.57,36.77,0.61,24.65,3.71,7.39,0,NA,NA,NA,29.6,74.48,2.64,275.59,0,0,210.94,707.52,0.07
11-08-2017 00:00,,40.82,105.89,1.84,11.96,7.86,3.33,38.86,0.58,21.62,3.22,5.14,0,NA,NA,NA,29.35,73.7,3.49,279.87,0,0,160.85,NA,0.12
12-08-2017 00:00,,53.48,120.26,1.56,15.46,9.48,3.05,34.54,1.2,17.13,4.3,5.59,0,NA,NA,NA,26.88,78.27,1.51,281.99,0.25,22.5,96.74,NA,0.07
13-08-2017 00:00,,47.78,94.01,1.73,16.31,10.01,2.1,25.24,0.82,20.27,2.07,2.28,0,NA,NA,NA,29.09,76.96,2.3,290.78,0,0,123.36,NA,0.06
14-08-2017 00:00,,23.7,49.78,2.04,10,6.73,7.84,12.39,0.43,27.38,1.3,2.99,0.6,NA,NA,NA,30.07,74.38,1.07,252.34,0,0,187.95,720.86,0.05
15-08-2017 00:00,,52.04,144.78,1.54,10.7,6.93,1.83,11.29,0.66,33.87,4.07,7.47,1.93,NA,NA,NA,29.75,76.4,1.2,255.34,0.08,7,172.82,740.54,0.04
16-08-2017 00:00,,60.58,137.42,1.71,15.01,9.38,2.89,32.51,1.19,22.87,4.29,13.06,2.38,NA,NA,NA,29.37,76.14,1.64,281.63,0.01,0.5,94.33,736.93,0.08
17-08-2017 00:00,,54.94,119.58,1.66,13.55,8.55,3.21,34.32,1.32,24.49,4.42,11.53,3.02,NA,NA,NA,26.96,79.28,0.84,218.8,0.02,1.5,71.62,732.48,0.06
18-08-2017 00:00,,46.43,84.73,1.57,14.64,9.05,3.19,30.59,1.22,13.51,4.3,15.88,3.01,NA,NA,NA,24.95,80.46,0.84,290.42,0.04,3.5,49.82,729.04,0.07
19-08-2017 00:00,,42.62,74.07,1.69,12.72,8.13,3.15,32.1,1.46,15.73,3.9,15.41,2.33,NA,NA,NA,24.01,83.11,1.83,284.79,0.02,2,53.27,731.8,0.08
20-08-2017 00:00,,34.4,66.9,1.62,12.95,8.2,4.46,19.11,1.32,20.12,3.24,7.68,1.45,NA,NA,NA,24.97,80.66,1.04,279.01,0.11,10,113.94,734.19,0.04
21-08-2017 00:00,,19.9,56.43,1.72,7.52,5.3,3.68,32.31,1.66,17.48,4.43,9.78,1.6,NA,NA,NA,28.1,76.91,1.58,253.16,0.01,0.5,144.9,735.77,0.04
22-08-2017 00:00,,33.76,93.66,1.89,11.8,7.82,2.24,31.92,1.64,NA,3.33,11.54,1.88,NA,NA,NA,27.84,75.69,1.88,274.2,0,0,142.39,736.87,0.08
23-08-2017 00:00,,30.74,72.45,1.9,10.63,7.2,2.46,31.68,1.71,22.12,4.05,8.52,2.18,NA,NA,NA,27.53,77.17,1.39,257.21,0.15,12.5,175.34,738.5,0.06
24-08-2017 00:00,,33.36,85,1.6,10.76,7.02,2.47,30.81,1.73,NA,4.11,8.87,2.45,NA,NA,NA,28.1,75.43,1.55,255.6,0,0,188.49,733.89,0.07
25-08-2017 00:00,,46.23,122.33,1.61,11.14,7.23,2.75,17.87,1.42,NA,5.53,11.19,2.19,NA,NA,NA,29.04,75.93,1.24,261.97,0.15,13.5,162.73,731.34,0.05
26-08-2017 00:00,,40.7,80.65,1.58,12.72,8.05,2.96,39.76,1.91,NA,3.94,12.78,1.1,NA,NA,NA,28.94,76.36,1.61,268.79,0,0,200.17,729.69,0.06
27-08-2017 00:00,,28.99,50.34,1.88,11.35,7.28,0.15,33.38,1.68,NA,2.56,2.38,1.3,NA,NA,NA,29.26,79.91,1.2,276.16,0.26,20.5,91.15,730.88,0.03
28-08-2017 00:00,,25.13,39.57,1.31,8.96,5.74,3.32,8.72,1.35,4.47,4.18,13.24,3.04,NA,NA,NA,24.78,85.58,0.73,264.2,0.05,4,24.21,729.95,0.04
29-08-2017 00:00,,28.47,63.8,1.47,10.86,6.92,4.03,33.84,1.99,26.48,4.33,11.93,3.63,NA,NA,NA,25.24,83.16,1.61,261.11,0.73,65.5,71.28,735.13,0.06
30-08-2017 00:00,,22.56,85.52,1.69,7.77,5.5,1.93,28.56,1.66,25.01,2.78,11.04,1.44,NA,NA,NA,28.61,79.04,1.7,254.3,0.27,24.5,192.81,740.29,0.04
31-08-2017 00:00,,43.33,72.24,1.81,11.29,7.45,3.2,39.96,2.15,26.02,4.95,12.2,3.03,NA,NA,NA,28.96,80.99,0.85,296.1,0.03,3,77.48,742.63,0.03
01-09-2017 00:00,,51.76,104.2,1.62,10.73,6.92,4.84,33.69,NA,20.55,3.93,11.53,3.16,NA,NA,NA,29.79,82.41,0.5,246.86,0,0,48.38,742.28,0.04
02-09-2017 00:00,,68.65,176.97,1.76,9.79,6.63,2.27,32.55,1.04,22.79,6.05,13.65,4.94,NA,NA,NA,28.94,80.08,0.89,220.96,0,0,108.8,NA,0.05
