Timestamp,AQI,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
01-01-2024,222,127.31,268.42,70.38,77.94,148.32,,,1,32.48,0,0,0,,,,,,,,,0,,,
02-01-2024,,167.27,258.2,88.71,83.1,171.81,,,0.99,33.1,0,0,0,,,,,,,,,0,,,
03-01-2024,,173.53,257.86,115.87,82.54,197.36,,,1.29,30.62,0,0,0,,,,,,,,,0,,,
04-01-2024,370,217.42,337.83,107.1,94.49,201.58,,,1.25,23.6,0,0,0,,,,,,,,,0,,,
05-01-2024,,150.83,248.49,87.38,76.95,164.32,,,1.06,21.79,0,0,0,,,,,,,,,0,,,
06-01-2024,,170.4,262.85,81.06,62.99,144.05,,,1.05,21.48,0,0,0,,,,,,,,,0,,,
07-01-2024,346,169.09,257.29,66.39,36.28,102.66,,,1.07,23.36,0,0,0,,,,,,,,,0,,,
08-01-2024,357,209.57,351.46,80.41,45.08,125.48,,,1.14,18.91,0,0,0,,,,,,,,,0,,,
09-01-2024,339,130.81,209.07,60.44,30.79,91.24,,,0.92,19.36,0,0,0,,,,,,,,,0,,,
10-01-2024,279,156.39,253.39,63.13,33.94,97.07,,,1,24.62,0,0,0,,,,,,,,,0,,,
11-01-2024,,185.9,302.38,65.33,41.62,106.95,,,1.24,32.15,0,0,0,,,,,,,,,0,,,
12-01-2024,,179.67,277.74,81.67,49.8,131.47,,,1.22,31.38,0,0,0,,,,,,,,,0,,,
13-01-2024,403,330.16,471.86,141.02,61.64,202.66,,,1.81,35.19,0,0,0,,,,,,,,,0,,,
14-01-2024,427,277.88,407.72,127.25,55.32,182.57,,,1.77,32.51,0,0,0,,,,,,,,,0,,,
15-01-2024,355,171.44,257.45,109.41,49.52,158.93,,,1.29,29.17,0,0,0,,,,,,,,,0,,,
16-01-2024,373,248.83,355.86,118.05,56.16,174.21,,,1.42,28.61,0,0,0,,,,,,,,,0,,,
17-01-2024,378,197.13,283.26,69.71,42.4,112.12,,,1.07,30.35,0,0,0,,,,,,,,,0,,,
18-01-2024,329,195.55,301.93,84.8,43.87,128.67,,,1.26,30.59,0,0,0,,,,,,,,,0,,,
19-01-2024,378,193.97,303.42,75.01,43.75,118.76,,,1.2,27.42,0,0,0,,,,,,,,,0,,,
20-01-2024,328,186.07,295.28,91.6,34.86,126.48,,,1.14,37.49,0,0,0,,,,,,,,,0,,,
21-01-2024,359,170.07,264.67,68,20.83,88.81,,,1.15,30.95,0,0,0,,,,,,,,,0,,,
22-01-2024,,208.81,327.76,60.34,31.54,91.88,,,0.94,31.28,0,0,0,,,,,,,,,0,,,
23-01-2024,373,218.55,356.44,35.18,34.95,70.14,,,1.03,31.75,0,0,0,,,,,,,,,0,,,
24-01-2024,391,216.6,362.04,42.88,31.33,74.21,,,1.06,28.4,0,0,0,,,,,,,,,0,,,
25-01-2024,350,178.09,283.55,75.85,31.19,107.04,,,1.14,23,0,0,0,,,,,,,,,0,,,
26-01-2024,,271.45,408.96,143.82,46.14,189.96,,,1.55,25.44,0,0,0,,,,,,,,,0,,,
27-01-2024,,165.71,284.04,87.51,32.49,120,,,1.16,23.65,0,0,0,,,,,,,,,0,,,
28-01-2024,,283.39,424.45,153.67,64.13,205.7,,,1.7,21.89,0,0,0,,,,,,,,,0,,,
29-01-2024,,219.71,372.09,55.01,40.68,95.69,,,1.04,22.22,0,0,0,,,,,,,,,0,,,
30-01-2024,,212.34,346.67,93.3,28.94,122.25,,,1.24,18.93,0,0,0,,,,,,,,,0,,,
31-01-2024,,200.73,276.86,113.39,29.59,142.6,,,1.38,19.03,0,0,0,,,,,,,,,0,,,
01-02-2024,191,75.91,106.49,40.26,15.58,48.85,,,0.65,18.1,0,0,0,,,,,,,,,0,,,
02-02-2024,,103.13,150.44,66.58,25.34,91.93,,,0.73,23.11,0,0,0,,,,,,,,,0,,,
03-02-2024,217,109.23,209.14,58.71,24.43,83.15,,,0.8,24.75,0,0,0,,,,,,,,,0,,,
04-02-2024,,120.81,186.48,95.79,26.18,121.96,,,0.94,22.5,0,0,0,,,,,,,,,0,,,
05-02-2024,,85.06,142.99,38.99,25.06,56.22,,,0.41,21.83,0,0,0,,,,,,,,,0,,,
06-02-2024,156,82.22,157.66,38.62,30.38,68.99,,,0.35,22.46,0,0,0,,,,,,,,,0,,,
07-02-2024,169,79.63,156.25,24.63,29.66,54.29,,,0.3,23.8,0,0,0,,,,,,,,,0,,,
08-02-2024,165,74.9,138.27,23.07,23.33,46.4,,,0.3,25.41,0,0,0,,,,,,,,,0,,,
09-02-2024,151,84.19,172.32,77.57,37.03,114.58,,,0.49,24.55,0,0,0,,,,,,,,,0,,,
10-02-2024,288,159.55,283.61,130.23,48.45,178.49,,,0.65,16.79,0,0,0,,,,,,,,,0,,,
11-02-2024,324,148.52,254.67,59.95,41.99,101.94,,,0.46,10.37,0,0,0,,,,,,,,,0,,,
12-02-2024,306,145.23,257.21,51.24,40.28,91.36,,,0.48,15.86,0,0,0,,,,,,,,,0,,,
13-02-2024,353,207.86,351.52,122.78,38.15,160.93,,,0.77,18.41,0,0,0,,,,,,,,,0,,,
14-02-2024,,175.53,299.61,69.09,31.61,100.7,,,0.57,19.86,0,0,0,,,,,,,,,0,,,
15-02-2024,,130.69,232.12,46.87,28.68,75.55,,,0.39,22.38,0,0,0,,,,,,,,,0,,,
16-02-2024,279,115.76,219.38,67.89,31.08,98.98,,,0.39,21.7,0,0,0,,,,,,,,,0,,,
17-02-2024,261,112.42,208.18,62.16,30.99,93.13,,,0.38,23.62,0,0,0,,,,,,,,,0,,,
18-02-2024,277,146.65,274.14,160.35,47.4,181.27,,,0.76,,0,0,0,,,,,,,,,0,,,
19-02-2024,237,98.53,216.28,27.07,26.07,53.14,,,0.24,,0,0,0,,,,,,,,,0,,,
20-02-2024,252,131.84,233.44,40.68,25.16,65.81,,,0.44,27.65,0,0,0,,,,,,,,,0,,,
21-02-2024,300,94.12,191.71,12.47,21.12,33.51,,,0.42,12.15,0,0,0,,,,,,,,,0,,,
22-02-2024,168,73.27,155.61,9.57,6.74,16.31,,,0.4,10.63,0,0,0,,,,,,,,,0,,,
23-02-2024,147,77.59,161.75,13.26,12.29,25.46,,,0.26,11.7,0,0,0,,,,,,,,,0,,,
24-02-2024,187,86.43,181.99,27.95,15.22,43.17,,,0.52,11.74,0,0,0,,,,,,,,,0,,,
25-02-2024,189,91.07,172.85,14.13,12.87,27,,,0.62,12.93,0,0,0,,,,,,,,,0,,,
26-02-2024,162,80.17,174.65,20.2,13.78,33.97,,,0.52,11.89,0,0,0,,,,,,,,,0,,,
27-02-2024,,64.18,121.26,10.14,8.28,18.41,,,0.41,11,0,0,0,,,,,,,,,0,,,
28-02-2024,,71.66,136.18,7.06,3,9.93,,,0.44,12.94,0,0,0,,,,,,,,,0,,,
29-02-2024,,69.69,146.02,10.04,7.48,17.41,,,0.87,14.42,0,0,0,,,,,,,,,0,,,
01-03-2024,215,100.21,198.89,21.65,17.95,39.6,,,1.08,12.18,0,0,0,,,,,,,,,0,,,
02-03-2024,138,43.03,75.77,10.55,10.55,21.11,,,0.15,7.17,0,0,0,,,,,,,,,0,,,
03-03-2024,,58.98,165.9,9.97,10.13,20.1,,,0.04,12.27,0,0,0,,,,,,,,,0,,,
04-03-2024,132,54.56,115.89,10.2,10.09,20.28,,,1.85,13.8,0,0,0,,,,,,,,,0,,,
05-03-2024,125,59.52,122.75,9.19,10.05,19.24,,,2.36,18.11,0,0,0,,,,,,,,,0,,,
06-03-2024,,68.91,135.1,9.83,10.64,20.47,,,0.25,17.26,0,0,0,,,,,,,,,0,,,
07-03-2024,,87.28,176.33,22.92,13.95,36.87,,,0.65,13.2,0,0,0,,,,,,,,,0,,,
08-03-2024,145,73.48,153.52,10.87,12.07,22.94,,,0.73,13.63,0,0,0,,,,,,,,,0,,,
09-03-2024,,67.78,145.72,10.08,15.82,25.91,,,0.75,17.35,0,0,0,,,,,,,,,0,,,
10-03-2024,175,82.65,159.32,15.77,21.92,37.69,,,1.49,15.04,0,0,0,,,,,,,,,0,,,
11-03-2024,192,89.91,172.78,14.27,20.36,34.63,,,1.52,16.91,0,0,0,,,,,,,,,0,,,
12-03-2024,,86.91,175.81,14.67,19.7,34.38,,,1.21,13.53,0,0,0,,,,,,,,,0,,,
13-03-2024,186,85.48,177.02,22.13,21.85,43.98,,,1.26,11.17,0,0,0,,,,,,,,,0,,,
14-03-2024,215,93.09,188.57,31.67,16.16,47.83,,,1.13,12.92,0,0,0,,,,,,,,,0,,,
15-03-2024,142,72.71,154.83,9.72,14.22,23.94,,,0.55,14.61,0,0,0,,,,,,,,,0,,,
16-03-2024,154,66.33,157.21,22.91,21.04,43.67,,,0.77,16.07,0,0,0,,,,,,,,,0,,,
17-03-2024,163,85.15,177.27,17.5,21.2,38.7,,,0.72,16.91,0,0,0,,,,,,,,,0,,,
18-03-2024,188,85.82,185.57,17.69,20.38,38.07,,,0.74,13.43,0,0,0,,,,,,,,,0,,,
19-03-2024,209,104.53,230.67,29.58,22.62,52.14,,,1.44,14.11,0,0,0,,,,,,,,,0,,,
20-03-2024,212,96.85,209.42,18.9,25.48,44.38,,,1.65,13.28,0,0,0,,,,,,,,,0,,,
21-03-2024,156,79.45,177.01,16.04,21.74,37.78,,,1.36,15.97,0,0,0,,,,,,,,,0,,,
22-03-2024,,89.9,191.75,12.14,27.54,39.67,,,1.61,16.51,0,0,0,,,,,,,,,0,,,
23-03-2024,239,92.92,225.65,28.85,24.44,53.29,,,1.34,10.29,0,0,0,,,,,,,,,0,,,
24-03-2024,178,78.39,207.52,21.26,19.24,40.49,,,0.77,7.75,0,0,0,,,,,,,,,0,,,
25-03-2024,178,96.36,130.95,11.3,14.86,26.16,,,0.75,10.4,0,0,0,,,,,,,,,0,,,
26-03-2024,125,63.82,94.57,7.68,16.66,24.34,,,0.53,14.31,0,0,0,,,,,,,,,0,,,
27-03-2024,141,66.16,143.18,11.86,20.92,32.79,,,0.96,7.65,0,0,0,,,,,,,,,0,,,
28-03-2024,132,71.88,155.72,10.21,19.7,29.91,,,1.47,13.71,0,0,0,,,,,,,,,0,,,
29-03-2024,168,84.06,193.47,13.53,24.65,38.18,,,1.62,33.24,0,0,0,,,,,,,,,0,,,
30-03-2024,161,87.73,208.61,24.24,24.17,48.41,,,1.92,19.66,0,0,0,,,,,,,,,0,,,
31-03-2024,236,88.43,210.48,22.98,20.66,43.64,,,1.49,21,0,0,0,,,,,,,,,0,,,
01-04-2024,119,51.09,135.6,4.16,15.8,19.97,,,0.95,14.06,0,0,0,,,,,,,,,0,,,
02-04-2024,128,60.16,156.66,5.72,21,26.72,,,1.18,17.1,0,0,0,,,,,,,,,0,,,
03-04-2024,,81.43,209.31,10.2,30.32,40.52,,,1.59,18.82,0,0,0,,,,,,,,,0,,,
04-04-2024,,90.24,216.3,14.68,21.45,35.67,,,1.72,15.61,0,0,0,,,,,,,,,0,,,
