Timestamp,AQI,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
01-01-2019 00:00,427,260.66,649.64,89.57,56.36,145.94,NA,NA,2.73,38.37,0.07,0,0.02,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
02-01-2019 00:00,,339.39,706.13,144.24,82.98,227.22,NA,NA,3.6,41.67,0.02,0,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
03-01-2019 00:00,474,345.45,648.32,126.76,72.74,150.32,NA,NA,3.99,40.7,0,0,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
04-01-2019 00:00,391,185.28,441.37,43.04,41.01,84.04,NA,NA,2.22,31.35,0,0,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
05-01-2019 00:00,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
06-01-2019 00:00,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
07-01-2019 00:00,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
08-01-2019 00:00,,97.44,220.78,11.56,13.79,24.16,NA,NA,1.88,29.1,0,0.01,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
09-01-2019 00:00,250,111.13,288.08,15.28,14.76,30.04,NA,NA,1.81,29.28,0.01,0,0.02,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
10-01-2019 00:00,269,128.3,357.45,50.25,33.93,81.26,NA,NA,2.32,28.07,0,0,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
11-01-2019 00:00,389,221.51,522.24,106.75,56.49,149.55,NA,NA,3.49,29.09,0,0.01,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
12-01-2019 00:00,420,235.03,504.64,94.92,59.17,150.39,NA,NA,3.66,30.51,0,0,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
13-01-2019 00:00,,234.02,487.07,62.81,39.91,102.73,NA,NA,3.03,30.82,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
14-01-2019 00:00,223,82.12,196.03,14.51,15.57,30.08,NA,NA,1.62,31.29,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
15-01-2019 00:00,255,152.95,289.75,33.17,26.76,59.93,NA,NA,2.05,30.33,0.04,0.01,0.02,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
16-01-2019 00:00,411,312.78,651.35,118.82,64.84,183.66,NA,NA,3.72,27,0.04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
